scope	spoken_lines	inner_lines	characters	ellipsis_line_fraction	question_line_fraction	exclamation_line_fraction	apology_line_fraction	declarative_future_count	stammer_marker_line_fraction	senpai_count	watashi_count	direct_sumika_name_count
Dear 001-010	364	0	4514	0.6016483516483516	0.11538461538461539	0.12912087912087913	0.027472527472527472	7	0.1565934065934066	40	49	25
Dear 011-020	234	12	2925	0.7094017094017094	0.1111111111111111	0.1581196581196581	0.042735042735042736	5	0.13247863247863248	29	30	3
Dear 021-027	230	8	3018	0.46956521739130436	0.2391304347826087	0.27391304347826084	0.008695652173913044	1	0.1956521739130435	16	32	18
Dear 028-037	388	1	5574	0.5051546391752577	0.1056701030927835	0.16494845360824742	0.005154639175257732	3	0.05412371134020619	36	74	40
